long,lat,order,hole,piece,id,group,oid_,name,folderpath,symbolid,altmode,base,clamped,extruded,snippet,popupinfo,shape_leng,shape_area,label,cartodb_id,created_at,updated_at,white_prop_1970,black_prop_1970,white_prop_1980,black_prop_1980,white_prop_1990,black_prop_1990,white_prop_2000,black_prop_2000,white_prop_2010,black_prop_2010
-78.88351579199997,36.00338558400006,8,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.88108425399997,36.003490254000035,9,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.87861149299994,36.00336764000008,10,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.877236350999965,36.00339839500003,11,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.87544362199998,36.003640236000024,12,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.87527173299998,36.002177361000065,13,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.87537442899998,36.000516780000055,14,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.87547654199993,35.99992036200007,15,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.87557486699994,35.99969529600003,16,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.87601878799995,35.999457445000075,17,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
